Research Class,DTC Code,DTC Definition,Mapping Strength,Interpretation for This Class,Common Symptoms,Likely Diagnosis / Hypothesis,Toyota Examples,Nissan Examples,Volvo Examples,0
ALTERNATOR_ISSUE,P0561,System Voltage Unstable,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0562,System Voltage Low,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0563,System Voltage High,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0620,Generator Control Circuit Malfunction,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0621,Generator Lamp L Control Circuit Malfunction,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0622,Generator Field F Control Circuit Malfunction,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0623,Generator Lamp Control Circuit,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0625,Generator Field Terminal Circuit Low,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
ALTERNATOR_ISSUE,P0626,Generator Field Terminal Circuit High,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
TRANSMISSION_ISSUE,P0700,Transmission Control System Malfunction,Direct/Strong,Summary/MIL-request code only. Retrieve TCM codes before assigning a transmission root cause.,Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0701,Transmission Control System Range/Performance,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0702,Transmission Control System Electrical,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0705,Transmission Range Sensor Circuit Malfunction (PRNDL Input),Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0706,Transmission Range Sensor Circuit Range/Performance,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0707,Transmission Range Sensor Circuit Low Input,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0708,Transmission Range Sensor Circuit High Input,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0709,Transmission Range Sensor Circuit Intermittent,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0710,Transmission Fluid Temperature Sensor Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
TRANSMISSION_ISSUE,P0711,Transmission Fluid Temperature Sensor Circuit Range/Performance,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Harsh/delayed shifting; slipping; incorrect gear; limp mode; poor acceleration; transmission warning; high RPM without matching road speed.,"Transmission control, range/speed sensor, torque converter, hydraulic-pressure or shift-solenoid fault; internal transmission wear remains possible.","Corolla/Axio, Allion/Premio, RAV4","Note, Sunny/Almera, X-Trail, Qashqai","S60, V60, XC60, XC90",P0700 is only a request/summary code; retrieve the TCM-specific code before assigning the root cause.
